주문건수,평균기온(°C),일강수량(mm),평균 풍속(m/s),요일,계절성
1790,-2.5,0.0,0.4,2,1
1057,-0.4,0.0,0.4,3,2
1463,-3.1,0.0,0.4,4,3
1556,-1.6,0.0,0.6,5,4
1481,-2.1,0.0,0.4,6,5
2138,2.5,0.5,0.9,0,6
1443,7.3,40.0,1.7,1,7
1147,2.5,12.0,0.7,2,8
1332,-2.1,0.0,0.1,3,9
1579,-2.8,0.0,0.1,4,10
1649,-2.0,0.0,0.1,5,11
1605,-2.6,0.0,0.2,6,12
1296,-5.7,0.0,0.4,2,15
1282,-4.6,0.0,0.4,3,16
1546,-3.5,0.0,0.3,4,17
1657,-2.9,0.0,0.3,5,18
1599,-0.1,0.0,0.6,6,19
995,-1.4,0.0,0.8,0,20
1049,-3.3,0.0,0.3,1,21
1222,0.9,0.0,0.3,2,22
1498,1.3,0.0,0.5,3,23
1219,-0.7,0.0,0.4,4,24
1218,1.3,0.0,0.3,5,25
1551,4.0,0.0,1.1,6,26
1669,6.0,0.0,2.1,0,27
915,6.1,0.0,1.2,1,28
1152,4.1,0.0,0.9,2,29
1245,2.0,0.0,0.5,3,30
1991,1.4,0.0,0.7,4,31
1926,0.2,0.0,0.5,5,32
1861,-0.1,0.0,0.6,6,33
1252,-1.8,0.0,1.3,0,34
1148,-3.2,0.5,1.0,1,35
1358,-9.3,0.0,1.1,2,36
1468,-8.5,0.0,0.6,3,37
1613,-2.5,0.0,0.6,4,38
1924,-1.1,0.0,1.2,5,39
1821,-2.6,0.0,0.7,6,40
1197,0.9,0.0,0.6,0,41
975,3.5,0.0,0.5,1,42
1450,6.3,4.5,0.2,2,43
1223,5.3,0.0,0.3,3,44
1458,5.2,0.0,0.2,4,45
1743,8.3,2.0,0.8,5,46
1544,-1.4,14.0,1.1,6,47
1061,-6.4,0.5,1.4,0,48
1045,-5.8,0.0,0.7,1,49
1143,-1.1,0.0,0.4,2,50
1215,1.9,0.0,0.5,3,51
1633,5.5,5.5,0.8,4,52
1909,3.7,4.5,1.6,5,53
1613,0.4,0.0,0.7,6,54
1245,5.5,0.0,0.7,0,55
1235,6.6,14.0,2.1,1,56
1336,4.3,0.0,0.6,2,57
1350,3.7,0.0,0.6,3,58
1931,3.9,3.0,0.5,4,59
1738,5.9,0.5,0.6,5,60
1866,4.1,0.5,0.6,6,61
1187,1.5,0.0,0.7,0,62
1080,3.3,0.0,0.9,1,63
1335,1.5,0.0,1.7,2,64
1411,-0.5,0.0,0.8,3,65
1750,1.0,0.0,0.6,4,66
1682,4.4,0.0,0.5,5,67
1576,6.1,0.0,0.5,6,68
1293,5.1,12.0,0.4,1,70
1330,1.8,0.0,1.1,2,71
1378,5.9,0.0,1.1,3,72
1757,3.6,0.5,1.4,4,73
1798,2.2,0.0,1.1,5,74
1719,2.8,0.0,1.7,6,75
1068,1.6,0.0,1.0,0,76
1198,6.3,0.0,1.4,1,77
1397,9.2,0.0,2.7,3,79
1671,7.2,0.0,1.3,4,80
1650,12.3,0.0,1.3,5,81
1599,9.3,0.0,1.2,6,82
1059,7.9,0.0,0.8,0,83
1046,8.4,0.0,0.7,1,84
1301,9.6,0.0,0.7,2,85
1398,13.2,2.0,0.6,3,86
1680,10.6,2.0,1.3,4,87
1772,6.5,0.0,1.5,5,88
1770,6.1,0.0,0.9,6,89
1169,7.3,0.0,0.7,0,90
1204,9.6,0.0,0.7,1,91
1477,9.8,0.0,1.4,2,92
1745,7.8,0.0,0.9,4,94
1965,7.8,0.0,1.5,5,95
1809,4.8,0.0,0.8,6,96
1058,8.4,0.0,1.0,1,98
1319,6.6,0.0,1.5,2,99
